abandon [4'b1nd4n] vt.抛弃；放弃n.放纵；沉溺
bonanza [b4u'n1nz4] n.富矿带；幸运，带来好运的事
bond [b3nd] n.联结，联系；粘连；化学键n.公债
boom [bu:m] n.繁荣vi.急速发展
baby boom [] 生育高峰
boon [bu:n] n.恩惠，恩赐
baboon [b4'bu:n] n.狒狒
boost [bu:st] vt.增加，提高，促进
boring ['b3:ri6] adj.令人厌烦的
boredom ['b3:d4m] n.烦恼，无聊
bore [b3:] vt.钻孔；令人厌烦
boulder ['b4uld4] n.巨石
bounce [bauns] vi.跳起，弹回
bound [baund] adj.被束缚的；有义务的n.范围，限制
boundary ['baund4ri] n.分界线，边界
boundless ['baundlis] adj.无限的，无边无际的
bouquet [bu:'kei] n.花束
bow [bau] n.弓；弓形
bowlegged [] adj.弯脚的
bowl [b4ul] n.碗，碗状物
braid [breid] vt.编织
brain [brein] n.脑，大脑；头脑，智力
brawl [br3:l] n.争吵
brawling ['br3:li6] n.争吵，喧嚷
breach [bri:t5] vt.打破，突破n.违背，破坏
break apart [] 分开，分裂
break all ties with [] 与…断绝一切关系
break out [] 爆发；发生
breakdown=break down [] n.失败；故障n.分解；细目分类
breakup ['breik'8p] n.分裂，分离
break up [] 分裂，分离
breathless ['bre7lis] adj.无声息的，喘不过气来的
breathing ['bri:0i6] n.呼吸
breath [bre7] n.呼吸，气息
breathe [bri:0] v.呼吸，呼出
breathtaking ['bre7.teiki6] adj.令人激动的；惊人的
breed [bri:d] vt.养育，繁殖
breeze [bri:z] n.微风
brighten ['braitn] v.点亮vt.使愉快；使乐观
brilliance ['brilj4ns] n.聪明；辉煌
brilliantly ['brilj4ntli] adv.辉煌地，灿烂地
brim [brim] n.边；边缘
broad-brimmed [] adj.宽边的
briny ['braini] adj.盐水的，咸的
brisk [brisk] adj.活泼的，轻快的
briskness ['brisknis] n.敏捷，活泼
brittle ['britl] adj.易碎的
broaden ['br3:dn] v.放宽，变宽，扩大
brochure ['br4u54] n.小册子
bronze [br3nz] n.青铜；铜像
brook [bruk] n.小河
brown [braun] n./adj.褐色（的），棕色（的）vt.（使）成褐色，晒黑
brownish ['brauni5] adj.成褐色的
bubble ['b8bl] n.气泡，水泡
buckle ['b8kl] n.皮带扣环v.扣紧；（使）变弯曲
bud [b8d] n.芽，蓓蕾vi.发芽
buddy ['b8di] n.密友，伙伴
budget ['b8d9it] n.预算
buggy ['b8gi] n.小马车，童车
building block [] 积木
bulb [b8lb] n.球茎，球状物
bulk [b8lk] n.大批；大部分n.大小，体积
bulky ['b8lki] adj.庞大的，笨重的
bump [b8mp] n.肿块；突起v.碰（伤），撞（破）
bunch [b8nt5] n.串，束；群vi.捆成一束；聚集
bundle ['b8ndl] n.捆，束，包vt.捆
burdensome ['b4:dns4m] adj.繁重的，劳累的
burgeon ['b4:d94n] vi.迅速成长，发展
burning ['b4:ni6] n./adj.燃烧（的）adj.强烈的
burrow ['b8r4u] n.洞穴vi.挖地洞
bush [bu5] n.矮树丛
bust [b8st] n.半身像，半身雕像
bustle ['b8sl] n.喧闹，匆匆忙忙
butter ['b8t4] n.奶油
buzz [b8z] n./v.嗡嗡声；发出嗡嗡声
buzzer ['b8z4] n.蜂鸣器
by a factor of [] 翻…倍
by chance [] 偶然
by far [] 迄今为止
by-product ['bai.pr3d8kt] n.副产品
broadcast ['br3:dk2:st] n./vt.广播；传播
be characterized by [] 以…为特征，典型代表
be composed of [] 由…组成
barbecue ['b2:bikju:] n.烤肉野餐
big deal [] 重大的事，重要的人
beam [bi:m] n.木结构大梁
be informed about [] 熟悉
bilateral [bai'l1t4r4l] adj.有两面的, 双边的
bleak [bli:k] adj.荒凉的，凄凉的
bulb [b8lb] n.电灯泡；球茎
bloom [blu:m] v.（使）开花，（使）繁盛  n. 花
beneath [bi'ni:7] adv./prep.在…之下
bounce [bauns] v.（使）反跳，弹起
backpack ['b1kp1k] n.背包
bequest [bi'kwest] n.遗产，遗赠
braid [breid] vt.编织
betray [bi'trei] vt.出卖，背叛
be reserved to [] 留作…只用
briskness ['brisknis] n.敏捷，活泼
blacksmith ['bl1k.smi7] n.铁匠
bean [bi:n] n.豆子
butter ['b8t4] n.黄油，牛油
butterfly ['b8t4flai] n.[动]蝴蝶
capability [.keip4'bil4ti] n.能力，性能，容量
cassette [k2:'set] n.盒式磁带
Cuban ['kju:b4n] n./adj.古巴人；古巴（人）的
cupboard ['k8b4d] n.食橱，碗碟柜
crossbreeding [] n.异种交配，杂交
combustion [k4m'b8st54n] n.燃烧
combustible [k4m'b8st4bl] adj.易燃的
cab [k1b] n.出租马车、汽车
cabinetmaker [] n.家具师，细木工匠
cabin ['k1bin] n.小屋；船舱
cacti [] n.（pl）仙人掌-单数cactus
cadence ['keid4ns] n.（语调的）抑扬顿挫
calculate ['k1lkjuleit] vt.计算；估计
calculation [.k1lkju'lei54n] n.计算，考虑
calculator ['k1lkjuleit4] n.计算器
calibration [.k1li'brei54n] n.校准；标度，刻度
calm [k2:m] adj.（天气、海洋等）静的，平静的adj.镇静的，沉着的vt.使平静，使镇定，平息
campaign [k1m'pein] n.(政治或商业性)活动，竞选活动
champion ['t51mpj4n] n.冠军  vt.拥护，支持
championship ['t51mpj4n5ip] n.锦标赛
cancel ['k1ns4l] vt.取消
cancellation [k1ns4'lei54n] n.取消
candid ['k1ndid] adj.率直的，坦白的
candidate ['k1ndideit] n.候选人
cannibalism ['k1nib4liz4m] n.同类相食
canopy ['k1n4pi] n.天篷，遮篷
canvas ['k1nv4s] n.帆布；画布
canyon ['k1nj4n] n.峡谷
capability [.keip4'bil4ti] n.能力
capable ['keip4bl] adj.有能力的
capacity [k4'p1siti] n.容量；能力
captivity [k1p'tiviti] n.囚禁，拘留
carapace ['k1r4peis] n.（蟹或龟的）甲壳
carat ['k1r4t] n.（宝石重量单位）克拉
carbohydrate ['k2:b4u'haidreit] n.碳水化合物
cardiac ['k2:di1k] adj.心脏的
cardinal ['k2:din4l] adj.首要的，主要的n.一种美洲鸟，雄性有深红色羽毛
career [k4'ri4] n.生涯，职业
careerism [k4'ri4riz4m] n.野心，追求名利
careless ['kA4lis] adj.粗心的，疏忽的
carelessly ['kA4lisli] adv.不注意地，粗心地
careful ['kA4ful] adj.小心的，仔细地
cargo ['k2:g4u] n.货物
caricature [.k1rik4'tju4] n.讽刺画
carnival ['k2:niv4l] n.狂欢节
carnivorous [k2:'niv4r4s] adj.食肉的
carve [k2:v] vt.切开；雕刻
carver ['k2:v4] n.雕刻匠，雕工
carving ['k2:vi6] n.雕刻品，雕花
cast [k2:st] vt.浇铸vt.投，抛
casting ['k2:sti6] n.铸件，铸造
cast-iron ['k2:st'ai4n] adj.铸铁的
cast off [] 丢弃，摆脱
cast away [] 使失事，使漂流
casual ['k19ju4l] adj.非正式的，随便的；漫不经心的
catalyst ['k1t4list] n.催化剂；促使事情发展的因素
catalyze ['k1t4laiz] vt.促使；激励
catastrophe [k4't1str4fi] n.异常的灾祸
catching ['k1t5i6] adj.传染的；有魅力的，迷人的
catch on [] 理解，领会
categorize ['k1tig4raiz] vt.分类
category ['k1tig4ri] n.种类，类目；范畴
cater ['keit4] vi.满足需要，迎合
caterpillar ['k1t4pil4] n.毛虫
cathedral [k4'7i:dr4l] n.总教堂，大教堂
cause [k3:z] vt.导致，引起n.原因；事业
cautious ['k3:54s] adj.小心的，谨慎的
cautiously ['k3:54sli] adv.小心地，谨慎地
caution ['k3:54n] n.小心，谨慎vt.警告
cavern ['k1v4n] n.大山洞，大洞穴
cavity ['k1viti] n.洞；腔
cease [si:s] v.停止，终止
ceaseless ['si:slis] adj.不停的
celebrated ['selibreitid] adj.有名的，大名鼎鼎的
celebrate ['selibreit] vt.庆祝，祝贺；表扬，赞美
celebrity [si'lebriti] n.名人
celestial [si'lestj4l, si'lest54l] adj.天体的；天上的
cell [sel] n.细胞，单人牢房，电池
cellist ['t5elist] n.大提琴家
cello ['t5el4u] n.大提琴
census ['sens4s] n.人口调查，人口普查
centennial [sen'tenj4l, -ni4l] n.百年纪念
centigrade ['sentigreid] adj.摄氏（温度）的
ceremonial [.seri'm4unj4l] n.仪式adj.正式的；仪式的
ceremony ['serim4ni] n.典礼，仪式；礼节
chafe [t5eif] vt.（将皮肤等）擦热，擦破vt.使恼火
chagrin ['51grin] n.懊恼，失望
chalk [t53:k] n.粉笔
chamber ['t5eimb4] n.室；房间
champion ['t51mpj4n] n.冠军；拥护者vt.支持；主张
championship ['t51mpj4n5ip] n.锦标赛
chaos [' kei3s] n.混乱
chaotic [kei'3tik] adj.混乱的
chapel ['t51p4l] n.小礼拜堂
character ['k1rikt4] n.角色；性格
characteristic [.k1rikt4'ristik] adj.典型的，表现特征的，特有的n.特征，特性
characterize ['k1rikt4raiz] vt.表现…的特色，刻画…的性格
charcoal ['t52:k4ul] n.炭；木炭
charitable ['t51rit4bl] adj.慈善事业的，慈善的；仁慈的
charter ['t52:t4] v.包租；特许n.宪章，章程
chart [t52:t] n.海图，图表vt.制图
chaste [t5eist] adj.贞洁的；（思想、言论）朴素的
chat [t51t] vi.闲谈
chateau ['52:t4u] n.城堡，高级旅馆
check [t5ek] vt.检查，核对；阻止，控制n.支票
checkup ['t5ek8p] n.审查；身体检查
checkout ['t5ekaut] n.检验，校验
check out [] 检验，校验
chef [5ef] n.厨师
cherish ['t5eri5] v.怀抱（希望等）；珍爱
chill [t5il] vt.使冷，变冷；冷却n.寒意，寒战
chilly ['t5ili] adj.寒冷的
chilli ['t5ili] n.红辣椒
chimpanzee ['t5imp1n'zi:] n.黑猩猩
chisel ['t5izl] n.凿子v.砍凿，凿刻
chivalry ['5iv4lri] n.骑士气概，侠义；（男人）对女人彬彬有礼，献殷勤
choke [t54uk] vt.使窒息
chop [t53p] vt.砍
choppy ['t53pi] adj.波浪起伏的,(风)不断改变方向的
chord [k3:d] n.琴弦，心弦
chore [t53:] n.家务杂事
choreography [.k3(:)ri'3gr4fi] n.舞蹈编排
choreograph ['k3(:)ri4gr2:f] vt.设计舞蹈动作
choreographer [.k3ri'3gr4f4(r)] n.舞蹈指导
choreographic [.k3ri4'gr1fik] adj.舞蹈术的，舞台舞蹈的
chorus ['k3:r4s] n.合唱团
chronic ['kr3nik] adj.长期的；慢性的
chronological [. kr3n4'l3d9ik4l] adj.按年代顺序排列的
chronology [kr4'n3l4d9i] n.年代学，年表
chubby ['t58bi] adj.丰满的，圆胖的
chunk [t586k] n.大块；矮胖的人或物
cider ['said4] n.苹果酒，苹果汁
cipher ['saif4] n.密码
circuit ['s4:kit] n.电路
circular ['s4:kjul4] adj.循环的；圆的
circle ['s4:kl] n.圆周，圆形物n.（具有共同兴趣、利益的人组成的）圈子，集团vt.包围，环绕
circulate ['s4:kjuleit] v.（使）循环；（使）传播
circulation [.s4:kju'lei54n] n.循环；流通
circumference [s4'k8mf4r4ns] n.圆周；周长
circumscribe ['s4:k4mskraib, .s4:k4m'skraib] vt.划界限；限制
circumstance ['s4:k4mst4ns] n.环境，情况
citadel ['sit4d4l] n.堡垒，要塞
cite [sait] vt.引用，举例
citizenship ['sitiz4n5ip] n.公民（的身份）
civil ['sivl] adj.公民的；市民的adj.国内的
civil rights [] 公民权
civil war [] 内战
civility [si'viliti] n.彬彬有礼，斯文
civilization [.sivilai'zei54n;-li'z-] n.文明，文化
civilian [si'vilj4n] adj.平民的；民用的n.平民
claim [kleim] n.要求，要求权v.声称，主张
clam [kl1m] n.蛤，蛤肉
clamor ['kl1m4] n.叫嚣，喧哗
clan [kl1n] n.家族，宗族
clap [kl1p] n.拍手声；霹雳声v.鼓掌；轻拍
clarify ['kl1rifai] vt.澄清，阐明
clarification [.kl1rifi'kei54n] n.澄清，净化
classify ['kl1sifai] vt.把…分类，分等级
classification [.kl1sifi'kei54n] n.分类，分级
clause [kl3:z] n.分句；条款
clay [klei] n.粘土；泥土
clergy ['kl4:d9i] n.牧师
clergyman ['kl4:d9im4n] n.牧师，教士
cliff [klif] n.悬崖峭壁
climate ['klaimit] n.气候；社会风气或趋势
climatic [klai'm1tik] adj.气候上的
cling [kli6] vi.粘紧，附着vi.坚持（意见），墨守（习惯）
clinic ['klinik] n.门诊所
clinical ['klinik4l] adj.临床的
clip [klip] vt.修剪
clockwise ['kl3kwaiz] adj./adv.顺时针方向的（地）
counterclockwise [.kaunt4'kl3kwaiz] adj./adv.逆时针方向的（地）
clog [kl3g] vt.障碍，阻塞
clumsy ['kl8mzi] adj.笨拙的；愚笨的
cluster ['kl8st4] n.簇，串，群vi.丛生；聚集
clutch [kl8t5] v.抓住，攫取n.一次产的或孵的蛋（或卵）
coalesce [.k4u4'les] vi.联合，合并
coalescence [.k4u4'lesns] n.合并，联合
coalition [.k4u4'li54n] n.联合，同盟
coarse [k3:s] adj.粗糙的
coax [k4uks] vt.哄诱，巧言诱哄
code of laws [] 法典
codify ['k3difai, 'k4u] vt.编成法典，编辑成书
coexist [k4uig'zist] vi.同时存在，共存
cognitive ['k3gnitiv] adj.认知的；感知的
coherent [k4u'hi4r4nt] adj.粘在一起的adj.连贯的；有条理的
coherence [k4u'hi4r4ns] n.一致
cohesion [k4u'hi:94n] n.附着（力），凝聚力
cohesive [k4u'hi:siv] adj.粘着的
coil [k3il] n.（一）卷；线圈vt.盘绕，卷
coin [k3in] n.铸币vt.创造（一个新的词语或短语）
coinage ['k3inid9] n.造币，货币制度
coincide [.k4uin'said] vi.同时发生；相符合，相巧合
coincident [k4u'insid4nt] adj.一致的，巧合的
coincidence [k4u'insid4ns] n.一致；同时发生或同时存在的事
collaborate [k4'l1b4reit] vi.协作，合作
collaboration [k4.l1b4'rei54n] n.合作
collapse [k4'l1ps] n.倒塌；崩溃，失败
colleague ['k3li:g] n.同事，同僚
collective [k4'lektiv] adj.集体的，共同的
collide [k4'laid] vi.碰撞；冲突
collision [k4'li94n] n.碰撞；冲突，抵触
colloquial [k4'l4ukwi4l] adj.口语的，通俗语的
colloquialism [k4'l4ukwi4liz(4)m] n.俗话，白话，口语
colonize ['k3l4naiz] vt.建立殖民地，拓殖vt.定居，居于
colony ['k3l4ni] n.殖民地；群体
colonial [k4'l4unj4l] adj.殖民的，殖民地的
colonel ['k4:nl] n.陆军上校
colossal [k4'l3sl] adj.巨大的
combination [.k3mbi'nei54n] n.化和，组合
combine [k4m'bain] v.联合，结合
combustible [k4m'b8st4bl] adj.易燃的
combustion [k4m'b8st54n] n.燃烧
comet ['k3mit] n.彗星
cometary ['k3mit4ri] adj.彗星的，彗星似的
comic ['k3mik] adj.滑稽的，好笑的；喜剧的
comical ['k3mik(4)l] adj.滑稽的，好笑的
commander [k4'm2:nd4] n.司令官，指挥员
commemorate [k4'mem4reit] vt.纪念
comment ['k3ment] n.注释，评论vi.谈及；注释，评论
commentator ['k3menteit4] n.评论员，讲解员
commentary ['k3m4nt4ri] n.注释，解说词
commerce ['k3m4(:)s] n.商业
commercial [k4'm4:54l] adj.商业的，贸易的
commercialize [k4'm4:54laiz] vt.使商业化，使商品化
commission [k4'mi54n] vt.委任，任命；委托，委托制作n.佣金
commissioner [k4'mi54n4] n.委员，专员
committed [k4'mitid] adj.效忠的；忠于…的
commit [k4'mit] vt.犯（错误），干（坏事）
committee [k4'miti] n.委员会
commitment [k4'mitm4nt] n.信奉，支持；许诺，承担义务
commodity [k4'm3diti] n.商品，日用品
commonsense [.k3m4n'sens] adj.具有常识的
commonplace ['k3m4npleis] adj.平凡的
communal ['k3mjunl] adj.公共的；公社的
communicate [k4'mju:nikeit] vt.传达，沟通；通信
communication [k4.mju:ni'kei5n] n.沟通；通讯
community [k4'mju:niti] n.社区；社会
commute [k4'mju:t] v.通勤
commuter [k4'mju:t4] n.经常往返者
compact ['k3mp1kt; k4m'p1kt] adj.紧凑的，紧密的；简洁的vt.压缩；使密集
compaction [k4m'p1k54n] n.压紧
companion [k4m'p1nj4n] n.同伴，同事
comparable ['k3mp4r4bl] adj.可比的，比得上的；类似的
comparative [k4m'p1r4tiv] adj.比较的
comparatively [k4m'p1r4tivli] adv.相当地；比较地
compatible [k4m'p1t4bl] adj.可以并存的，相容的，协调的
compel [k4m'pel] vt.强迫，使不得不
compensate ['k3mp4nseit] vt.补偿，赔偿
compensation [k3mpen'sei54n] n.补偿，赔偿
compensatory [k4m'pens4t4ri] adj.补偿性的
compete [k4m'pi:t] vi.竞争，比得上
competent ['k3mpit4nt] adj.有能力的，能胜任的
competence ['k3mp4t4ns] n.能力，胜任
competition [k3mpi'ti54n] n.竞争，竞赛
competitiveness [k4m'petitivnis] n.竞争能力
competing [k4m'pi:ti6] adj.有竞争性的，不相上下的
compile [k4m'pail] vt.汇集，编辑
complacence [k4m'pleis4ns] n.自满，自以为是
complaint [k4m'pleint] n.抱怨，怨言
complain [k4m'plein] v.抱怨；悲叹
complement ['k3mplim4nt] vt.补充，使完善n.补足物，补充物
complementary [k3mpl4'ment4ri] adj.补充的，补足的
complex ['k3mpleks] adj.复杂的，费解的；结构复杂的n.综合体
complexity [k4m'pleksiti] n.复杂（性）
complicated ['k3mplikeitid] adj.费解的，棘手的；结构复杂的
complication [.k3mpli'kei5(4)n] n.并发症；复杂，复杂性
complicity [k4m'plisiti] n.共谋；同谋，共犯
complimentary [.k3mpli'ment(4)ri] adj.赞美的
compliment ['k3mplim4nt] n.恭维，称赞
comply with [] 遵从，符合
component [k4m'p4un4nt] n.成分，组成部分
compose [k4m'p4uz] vt.作曲，写作；组成
composition [k3mp4'zi54n] n.构成，组成n.写作，作文；作曲
compound ['k3mpaund] n.化合物
compound eyes [] 复眼
comprehend [.k3mpri'hend] vt.领悟，理解
comprehensible [.k3mpri'hens4bl] adj.可理解的，易于了解的
comprehension [.k3mpri'hen54n] n.理解，包含
comprehensive [.k3mpri'hensiv] adj.全面的，综合的
compress [k4m'pres] vt.压缩，浓缩
compression [k4m'pre5(4)n] n.浓缩，压缩
compressed [k4m'prest] adj.被压缩的，紧凑的
comprise [k4m'praiz] vt.包含；由…组成
compromise ['k3mpr4maiz] n.妥协，折衷
compulsory [k4m'p8ls4ri] adj.必须做的，被强制的
compute [k4m'pju:t] vt.计算
computation [.k3mpju(:)'tei5(4)n] n.计算，估计
concave ['k3n'keiv] adj.凹的
conceal [k4n'si:l] vt.隐藏，隐瞒
concede [k4n'si:d] v.承认
conceive [k4n'si:v] vt.构思；设想
concentric [k3n'sentrik] adj.同心的
concept ['k3nsept] n.概念，观念
conception [k4n'sep54n] n.观念，认识
conceptual [k4n'sept5u4l, -tju4l] adj.概念上的
concert ['k3ns4t] n.音乐会n.一致；共同
concerted [k4n's4:tid] adj.商议好的，协定的
concerto [k4n't54:t4u] n.协奏曲
concise [k4n'sais] adj.简洁的，简明的
conciseness [k4n'saisnis] n.简洁，简短
conclude [k4n'klu:d] v.推断；作出结论vi.结束
conclusive [k4n'klu:siv] adj.最后的，决定性的
concomitant [k4n'k3mit4nt] adj.伴随的         n. 伴随物
concrete ['k3nkri:t] n.水泥adj.具体的，实体的
concurrent [k4n'k8r4nt] adj.同时发生的
condemn [k4n'dem] vt.谴责
condemnation [.k3ndem'nei54n] n.谴责
condensation [k3nden'sei54n] n.压缩，浓缩
condense [k4n'dens] vt.使浓缩；精简
condenser [k4n'dens4] n.冷凝器
condiment ['k3ndim4nt] n.调味品
condition [k4n'di54n] n.条件；状况；健康状况
conditioning [k4n'di54ni6] n.（心理）条件作用，训练
condor ['k3nd3:, 'k3nd4] n.秃鹰
conduct ['k3nd8kt; k4n'd8kt] vt.做（试验、研究等）；引导，带领vt.传导n.举止，行为
conductivity [.k3nd8k'tiviti] n.导电率；传导率
conductor [k4n'd8kt4] n.导体
cone [k4un] n.圆锥，松果
confederate [k4n'fed4rit] n.同盟者，盟友
confederacy [k4n'fed4r4si] n.联盟
confer [k4n'f4:] v.颁给，赋予v.协商
conference ['k3nf4r4ns] n.会议；协商会，讨论会
confess [k4n'fes] vt.坦白承认
confession [k4n'fe54n] n.承认，招供
confide [k4n'faid] vt.吐露（心事），倾诉
confident ['k3nfid4nt] adj.有信心的，自信的
